danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.58,0.7020000000000001,4,-5.565,1,0.0337,0.0466,3.2e-06,0.536,0.299,105.076,audio_features,57BrRMwf9LrcmuOsyGilwr,spotify:track:57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/tracks/57BrRMwf9LrcmuOsyGilwr,https://api.spotify.com/v1/audio-analysis/57BrRMwf9LrcmuOsyGilwr,208960,4,Emo,Crawling,,
0.682,0.601,9,-8.937000000000001,0,0.12,0.121,0.917,0.155,0.213,121.995,audio_features,1GZYD4cIpVYMUzYD0sYhhF,spotify:track:1GZYD4cIpVYMUzYD0sYhhF,https://api.spotify.com/v1/tracks/1GZYD4cIpVYMUzYD0sYhhF,https://api.spotify.com/v1/audio-analysis/1GZYD4cIpVYMUzYD0sYhhF,190851,4,Dark Trap,Pink Slips,,
0.7120000000000001,0.481,4,-5.415,0,0.0487,0.173,0.0,0.241,0.062,140.0,audio_features,11kDth1aKUEUMq9r1pqyds,spotify:track:11kDth1aKUEUMq9r1pqyds,https://api.spotify.com/v1/tracks/11kDth1aKUEUMq9r1pqyds,https://api.spotify.com/v1/audio-analysis/11kDth1aKUEUMq9r1pqyds,196138,4,Rap,5% TINT,,
0.679,0.573,9,-7.807,1,0.436,0.00212,4.61e-05,0.0288,0.55,140.029,audio_features,74QoJTzsDOuTWrEMfCBO1c,spotify:track:74QoJTzsDOuTWrEMfCBO1c,https://api.spotify.com/v1/tracks/74QoJTzsDOuTWrEMfCBO1c,https://api.spotify.com/v1/audio-analysis/74QoJTzsDOuTWrEMfCBO1c,161143,4,Trap Metal,Fuk!,,
0.8340000000000001,0.49,2,-10.185,1,0.267,0.391,0.000417,0.124,0.265,203.71400000000003,audio_features,5OwSiq2t0H9fPz9HefNWX6,spotify:track:5OwSiq2t0H9fPz9HefNWX6,https://api.spotify.com/v1/tracks/5OwSiq2t0H9fPz9HefNWX6,https://api.spotify.com/v1/audio-analysis/5OwSiq2t0H9fPz9HefNWX6,189747,4,Underground Rap,Bring The Pain,,
0.662,0.586,5,-6.287000000000001,0,0.0251,0.0325,0.00424,0.153,0.0726,215.988,audio_features,4Am4agzcSdFnKLSEB56ODY,spotify:track:4Am4agzcSdFnKLSEB56ODY,https://api.spotify.com/v1/tracks/4Am4agzcSdFnKLSEB56ODY,https://api.spotify.com/v1/audio-analysis/4Am4agzcSdFnKLSEB56ODY,130973,4,Dark Trap,ghost boy,,
0.72,0.727,1,-8.16,1,0.221,0.0193,0.0,0.107,0.2769999999999999,155.982,audio_features,4nutwPQrK56fFmrAMgyPhz,spotify:track:4nutwPQrK56fFmrAMgyPhz,https://api.spotify.com/v1/tracks/4nutwPQrK56fFmrAMgyPhz,https://api.spotify.com/v1/audio-analysis/4nutwPQrK56fFmrAMgyPhz,189109,4,Dark Trap,"10,000 Degrees",,
0.639,0.295,0,-11.237,0,0.544,0.5539999999999999,3.09e-05,0.3,0.634,173.894,audio_features,6efkcs2aUBMFKxl0cl2JWQ,spotify:track:6efkcs2aUBMFKxl0cl2JWQ,https://api.spotify.com/v1/tracks/6efkcs2aUBMFKxl0cl2JWQ,https://api.spotify.com/v1/audio-analysis/6efkcs2aUBMFKxl0cl2JWQ,169320,4,Hiphop,Wild Irish Roses,,
0.69,0.88,1,-3.525,1,0.284,0.0384,0.502,0.126,0.813,159.933,audio_features,5V5BHmvpylV0nSc2Yu2Mu4,spotify:track:5V5BHmvpylV0nSc2Yu2Mu4,https://api.spotify.com/v1/tracks/5V5BHmvpylV0nSc2Yu2Mu4,https://api.spotify.com/v1/audio-analysis/5V5BHmvpylV0nSc2Yu2Mu4,174250,4,Trap Metal,All Alone,,
0.6,0.825,2,-6.06,0,0.138,0.0595,0.0724,0.544,0.191,145.02100000000002,audio_features,6GMKlSgu1XKC5t0s0ekGJp,spotify:track:6GMKlSgu1XKC5t0s0ekGJp,https://api.spotify.com/v1/tracks/6GMKlSgu1XKC5t0s0ekGJp,https://api.spotify.com/v1/audio-analysis/6GMKlSgu1XKC5t0s0ekGJp,230000,4,Dark Trap,Want U,,
